,name,rating,link,lat,long,avg price,description,primary_cuisine
0,Kyoto Sushi Matsumoto,3.50,https://tabelog.com/en/kyoto/A2601/A260101/26038972/,34.98940903787952,135.76003958020473,12499.5,"Kyoto Sta., Sushi, Japanese Cuisine, Seafood",Japanese
1,Sushi Tempura Gion Iwai,3.40,https://tabelog.com/en/kyoto/A2601/A260301/26039518/,35.00406773787491,135.77485188034245,8999.5,"Gion Shijo Sta., Sushi, Japanese Cuisine, Seafood",Japanese
2,Kyoto Yakiniku Gyurakutei,3.38,https://tabelog.com/en/kyoto/A2601/A260201/26002583/,35.0038537356091,135.75688598609688,5499.5,"Shijo Sta., Yakiniku (BBQ Beef), Horumon (BBQ Offel), Izakaya (Tavern)",Japanese
3,Sushi Fukagawa,3.62,https://tabelog.com/en/kyoto/A2601/A260202/26006733/,35.01504943786536,135.76674598045904,17499.5,"Kyoto Shiyakusho Mae Sta., Sushi, Japanese Cuisine, Crab",Japanese
4,Kobe Gyuu Kisshoukichi Kyoto Honten,-,https://tabelog.com/en/kyoto/A2601/A260201/26040329/,35.01011413786976,135.77072248040642,8999.5,"Sanjo Sta., Steak, Teppanyaki, Sukiyaki",Japanese
5,Kyoto Wagyu Ryouri Isseki Sanchou,3.53,https://tabelog.com/en/kyoto/A2601/A260304/26042130/,34.99056802090361,135.74902759050275,12499.5,"Umekoji Kyotonishi Sta., Yakiniku (BBQ Beef), Sukiyaki, Chinese",Chinese
6,Gion Karyo,3.60,https://tabelog.com/en/kyoto/A2601/A260301/26002441/,35.00178704343385,135.77457572323144,12499.5,"Gion Shijo Sta., Japanese Cuisine",Japanese
7,Hyoto Kyotoekimaehonten,3.51,https://tabelog.com/en/kyoto/A2601/A260101/26031208/,34.988559937878534,135.7553038801995,8999.5,"Kyoto Sta., Shabu shabu (Japanese hotpot), Japanese Cuisine",Japanese
8,Nijo Kizuki,3.59,https://tabelog.com/en/kyoto/A2601/A260202/26024174/,35.0135911599358,135.7644724077167,6999.5,"Kyoto Shiyakusho Mae Sta., Sushi, Creative, Japanese Cuisine",Japanese
9,Gion Shizuka,3.56,https://tabelog.com/en/kyoto/A2601/A260301/26041409/,35.005369991400045,135.77445362396188,12499.5,"Gion Shijo Sta., Japanese Cuisine, Nihonshu (Japanese sake), Pressed sushi stick",Japanese
10,Hyoto Shijo Karasuma Ten,3.54,https://tabelog.com/en/kyoto/A2601/A260202/26002130/,35.005583437868644,135.75818948036942,8999.5,"Karasuma Sta., Shabu shabu (Japanese hotpot), Japanese Cuisine",Japanese
11,Steak Teppanyaki Mikura,3.37,https://tabelog.com/en/kyoto/A2601/A260301/26002059/,35.00779828438807,135.77111073422995,8999.5,"Sanjo Sta., Steak, Teppanyaki, Seafood",Japanese
12,Gion Yamagishi,3.62,https://tabelog.com/en/kyoto/A2601/A260301/26039228/,35.00253670411125,135.77564282231546,24999.5,"Gion Shijo Sta., Japanese Cuisine, Seafood, Tempura",Japanese
13,Matsusaka Gyuu WHAT'S Kyoto Muromachi Ten,3.39,https://tabelog.com/en/kyoto/A2601/A260202/26004842/,35.008390037954705,135.75800555905195,8999.5,"Karasuma Oike Sta., Yakiniku (BBQ Beef), Horumon (BBQ Offel), Steak",Japanese
14,Kyoto Sushi Momonoki,3.50,https://tabelog.com/en/kyoto/A2601/A260101/26039689/,34.98935062035281,135.7600750001106,12499.5,"Kyoto Sta., Sushi, Seafood",Japanese
15,Gion Shoten Kyoto Kawaramachi Honten,3.16,https://tabelog.com/en/kyoto/A2601/A260201/26039792/,35.00423976030288,135.77020513994705,2499.5,"Kyoto Kawaramachi Sta., Izakaya (Tavern), Yakitori (Grilled chicken skewers), Seafood",Japanese
16,Kyoto Tsuyushabu CHIRIRI Hon Ten,3.41,https://tabelog.com/en/kyoto/A2601/A260202/26020754/,35.01808333786062,135.75786608049592,6999.5,"Marutamachi Sta., Shabu shabu (Japanese hotpot), Sukiyaki, Japanese Cuisine",Japanese
17,Yakiniku Gyusho Shin,3.58,https://tabelog.com/en/kyoto/A2601/A260301/26036119/,35.00505393787399,135.77391538035306,12499.5,"Gion Shijo Sta., Yakiniku (BBQ Beef), Japanese Cuisine, Beef dishes",Japanese
18,Fujiwara,3.62,https://tabelog.com/en/kyoto/A2601/A260301/26001379/,35.00457426789264,135.77586854308956,12499.5,"Gion Shijo Sta., Japanese Cuisine",Japanese
19,Kyoto Sanjo Haku,3.57,https://tabelog.com/en/kyoto/A2601/A260202/26030697/,35.0096245266276,135.77106648109807,24999.5,"Sanjo Sta., Sukiyaki, Japanese Cuisine",Japanese
20,Gion Katana,3.16,https://tabelog.com/en/kyoto/A2601/A260301/26041466/,35.00573355230531,135.77380560548517,12499.5,"Gion Shijo Sta., Yakitori (Grilled chicken skewers), Izakaya (Tavern), Wine bar",Japanese
21,Gion Gyuuzen,3.09,https://tabelog.com/en/kyoto/A2601/A260301/26003500/,35.00463963787529,135.77720378034658,4499.5,"Gion Shijo Sta., Shabu shabu (Japanese hotpot), Sukiyaki, Hot Pot",Japanese
22,0 Byo Lemon Sour Sendai Horumon Yakiniku Sakaba Tokiwatei Sanjo Kiyamachi Ten,3.04,https://tabelog.com/en/kyoto/A2601/A260301/26040469/,35.00795823787095,135.770222580385,3499.5,"Sanjo Sta., Yakiniku (BBQ Beef), Horumon (BBQ Offel), Izakaya (Tavern)",Japanese
23,Pontocho Sushi Ishi Ya,3.23,https://tabelog.com/en/kyoto/A2601/A260201/26037826/,35.00506443787301,135.77086068035533,12499.5,"Gion Shijo Sta., Sushi",Japanese
24,Fresh Market,3.09,https://tabelog.com/en/kyoto/A2601/A260301/26013607/,35.00508420318021,135.77528634574043,12499.5,"Gion Shijo Sta., Steak, Beef dishes, Teppanyaki",Japanese
25,Kyoto Minami,3.01,https://tabelog.com/en/kyoto/A2601/A260301/26030521/,35.007394737871024,135.76927918037998,2499.5,"Sanjo Sta., Yakiniku (BBQ Beef), Shabu shabu (Japanese hotpot)",Japanese
26,Ippin Sakai,3.52,https://tabelog.com/en/kyoto/A2601/A260201/26034508/,35.00629855981121,135.7617924104991,5499.5,"Karasuma Sta., Japanese Cuisine",Japanese
27,Nikuya Kagura,3.57,https://tabelog.com/en/kyoto/A2601/A260202/26020065/,35.011604869223255,135.75792998696085,8999.5,"Karasuma Oike Sta., Yakiniku (BBQ Beef), Japanese Cuisine",Japanese
28,Masuichi Higashi Ten,3.50,https://tabelog.com/en/kyoto/A2601/A260604/26002401/,34.97709903788388,135.74922808008802,5499.5,"Toji Sta., Yakiniku (BBQ Beef), Horumon (BBQ Offel)",Japanese
29,Onjaku Sakontaro Hon Ten,3.36,https://tabelog.com/en/kyoto/A2601/A260202/26002088/,35.01195616566733,135.77069141095157,6999.5,"Kyoto Shiyakusho Mae Sta., Japanese Cuisine, Seafood, Hot Pot",Japanese
