link,avg price,description,primary_cuisine
https://tabelog.com/en/kyoto/A2601/A260101/26038972/,12499.5,"Kyoto Sta., Sushi, Japanese Cuisine, Seafood",Japanese
https://tabelog.com/en/kyoto/A2601/A260301/26039518/,8999.5,"Gion Shijo Sta., Sushi, Japanese Cuisine, Seafood",Japanese
https://tabelog.com/en/kyoto/A2601/A260201/26002583/,5499.5,"Shijo Sta., Yakiniku (BBQ Beef), Horumon (BBQ Offel), Izakaya (Tavern)",Japanese
https://tabelog.com/en/kyoto/A2601/A260202/26006733/,17499.5,"Kyoto Shiyakusho Mae Sta., Sushi, Japanese Cuisine, Crab",Japanese
https://tabelog.com/en/kyoto/A2601/A260201/26040329/,8999.5,"Sanjo Sta., Steak, Teppanyaki, Sukiyaki",Japanese
https://tabelog.com/en/kyoto/A2601/A260304/26042130/,12499.5,"Umekoji Kyotonishi Sta., Yakiniku (BBQ Beef), Sukiyaki, Chinese",Chinese
https://tabelog.com/en/kyoto/A2601/A260301/26002441/,12499.5,"Gion Shijo Sta., Japanese Cuisine",Japanese
https://tabelog.com/en/kyoto/A2601/A260101/26031208/,8999.5,"Kyoto Sta., Shabu shabu (Japanese hotpot), Japanese Cuisine",Japanese
https://tabelog.com/en/kyoto/A2601/A260202/26024174/,6999.5,"Kyoto Shiyakusho Mae Sta., Sushi, Creative, Japanese Cuisine",Japanese
https://tabelog.com/en/kyoto/A2601/A260301/26041409/,12499.5,"Gion Shijo Sta., Japanese Cuisine, Nihonshu (Japanese sake), Pressed sushi stick",Japanese
https://tabelog.com/en/kyoto/A2601/A260202/26002130/,8999.5,"Karasuma Sta., Shabu shabu (Japanese hotpot), Japanese Cuisine",Japanese
https://tabelog.com/en/kyoto/A2601/A260301/26002059/,8999.5,"Sanjo Sta., Steak, Teppanyaki, Seafood",Japanese
https://tabelog.com/en/kyoto/A2601/A260301/26039228/,24999.5,"Gion Shijo Sta., Japanese Cuisine, Seafood, Tempura",Japanese
https://tabelog.com/en/kyoto/A2601/A260202/26004842/,8999.5,"Karasuma Oike Sta., Yakiniku (BBQ Beef), Horumon (BBQ Offel), Steak",Japanese
https://tabelog.com/en/kyoto/A2601/A260101/26039689/,12499.5,"Kyoto Sta., Sushi, Seafood",Japanese
