name,rating
Kyoto Sushi Matsumoto,3.50
Sushi Tempura Gion Iwai,3.40
Kyoto Yakiniku Gyurakutei,3.38
Sushi Fukagawa,3.62
Kobe Gyuu Kisshoukichi Kyoto Honten,-
Kyoto Wagyu Ryouri Isseki Sanchou,3.53
Gion Karyo,3.60
Hyoto Kyotoekimaehonten,3.51
Nijo Kizuki,3.59
Gion Shizuka,3.56
Hyoto Shijo Karasuma Ten,3.54
Steak Teppanyaki Mikura,3.37
Gion Yamagishi,3.62
Matsusaka Gyuu WHAT'S Kyoto Muromachi Ten,3.39
Kyoto Sushi Momonoki,3.50
Gion Shoten Kyoto Kawaramachi Honten,3.16
Kyoto Tsuyushabu CHIRIRI Hon Ten,3.41
Yakiniku Gyusho Shin,3.58
Fujiwara,3.62
Kyoto Sanjo Haku,3.57
Gion Katana,3.16
Gion Gyuuzen,3.09
0 Byo Lemon Sour Sendai Horumon Yakiniku Sakaba Tokiwatei Sanjo Kiyamachi Ten,3.04
Pontocho Sushi Ishi Ya,3.23
Fresh Market,3.09
Kyoto Minami,3.01
Ippin Sakai,3.52
Nikuya Kagura,3.57
Masuichi Higashi Ten,3.50
Onjaku Sakontaro Hon Ten,3.36
Ryotei Yachiyo,3.46
Gion Suetomo,3.87
CICON by NOHGA HOTEL,3.57
Gion Nikuryori Oka,3.71
Ishibe Koji Mamecha Kyoto,3.45
Private rooms Izakaya Hannari Tei Kyoto Ekimae Ten,3.57
Gion Tsuzaki,3.19
Gion Kaburaya,3.41
taishuusukiyakihokuto Shijo Karasuma Ten,3.31
Shun Yasai × Kyo Izakaya Hitokuchi,3.05
Yakiniku Marutomi Shijo Kawaramachi Ten,3.35
Pontocho Robin,3.46
Toto 7,3.34
Niku Pond,3.18
Kyoto Gion Teppanyaki Plancha Ken,3.10
Genpin Kyoto Gion Fugu Unagi Kani Ryori,3.06
Unagi Yondaime Kikukawa Kyotoekiporutaten,3.26
Kobe Gyuu Senmon Ten Kisshoukichi Kawaramachi Sanjo,3.05
Pontocho Asari,3.12
Platinum Beef,3.31
Ihara Da,3.67
Machiya Kukan Kyoto Kyo Akari,3.15
Gion Motose,3.71
Tenichi Kyoto Isetan Ten,3.21
Sushi Toku,3.59
Kyoto Ekimae Sakaba Jurakudai,3.60
Tominokoji Tempura Matsui,3.29
Sakana Ryori Agiyao,3.55
Japanese cuisine Sakuragawa,3.72
Fugu Kani Hamo Kizuki,3.33
Kyokaiseki to Yuba Ryori Shozankaku Jei A Ru Kyoto Isetan Ten,3.46
Sushi Dokoro Ima,3.57
restaurant muni,3.23
BENOIT Kyoto Alain Ducasse,3.57
Senda,3.59
Dining bar  MO-JI,3.23
Sumibi Kushiyaki Torito,3.53
dining HARIMAYA,3.34
Ishiyakijidori Torikura,3.48
Teppanyaki Tokiwa,3.50
Ryori Ryoshuku Idutsuyasu,3.07
shikinouta Kyoto Ekimae Ten,3.13
OCTAVAR,3.34
NIKUMON Kawaramachi Takeyamachi Ten,3.29
Nikuya no Daidokoro Kyoto Kiyamachi Meat,3.07
sumiyaki unagi doikatsuman Kinkakuji Ten,3.08
Tendan Gionhonten,3.38
Shizen Shusai Ichishun,3.23
teppanyakikouberoimbetteikyousaien Hanamikoji Ten,-
Sakana to Seafood Tomoshibi Second,3.02
Stars'n Cacio KYOTO,3.31
Hyssop,3.48
Oniku to Bistro HaLe Resort Kyoto Kawaramachi Ten,3.29
Kyoya THE KIYOMIZU Miyukicho,3.12
Kyoto Kanigin Kawaramachi Ten,3.20
Kani Kani Land Kyoto Gion Ten,3.23
OBENKEI Kyoto Gion Ten,3.14
wamon,3.08
Kyoto Diner,3.46
Kyo Korean Do Ajoshigionhonten,3.51
Wagyu Yakiniku Horumon Sankichi Karasuma Honten,3.07
Yakiniku Horumo Daigoro,3.25
Steak no Don Jujo Shinsembon Ten,3.04
CHAPTER THE GRILL,3.20
Korean Ryori Shigor,3.04
Gion Yuzuki,3.05
Miyagawacho Saka,3.55
Niku Ryori Yoki,3.01
boogaloo cafe Teramachi Ten,3.34
Charcoal,3.34
Kyouto Chukaryouri Seikaen Keyamachiten,3.02
Sakana to Kamameshi Suishin Sain Ten,3.05
Kitchen Tomato,3.12
Raclette loom,3.14
Kuroge Wagyu Tan to Harami Yakiniku Ryu,3.23
Niku Mon Shijoomiya Honten,3.37
kyounokawabata,3.12
Gion Sushi Taku,3.40
Kizakura Jiroku Tei,3.27
Kyo Gochisou Ishimaru,3.11
Kappa Sushi Muko Ten,3.02
Private room × Kyo Izakaya Kyojinbei,3.07
Hikohachi,3.09
genshisumiyakihamaichi Kyoto Ekimae Ten,3.02
Omi-gyu Sukiyaki Shabushabu Miyako,3.05
Jukusei Yakiniku Pound Shijoomiya Ten,3.06
Roast Chicken Dining Yoshida Chicken,3.30
la princesse Kyoto,3.25
Yakiniku no Meimon Tendan Sain Ten,3.09
KOTOWARI,3.32
Sakura Cafe Hanon,3.21
tori ie bisu,3.12
Seafood Izakaya Matsuri 〜Shungyo to Kyo Yasai to Osake no Omise〜,3.06
Tankuma Kita Mise Rigaroiyaruhoterukyototen,3.44
Yakiniku Riki,3.25
Tajimaya Kyotoyodobashiten,3.26
Sumibi Yakiniku Yakiniku no Iwa San,3.25
SEKAIYA,3.40
Taishu Sumibi Yakiton Butta Sain Ten,3.32
CLOUD 10,3.08
Nikudokoro Danro Kyoto Satocho Ten,3.08
Fuyouen Hinabejou Kyobashi Ten,3.08
Seiwa So,3.35
Fuubito Suuro,3.32
Sumibi Yaki Kotepan,3.05
Yakiniku Toraji Kyobashi Ten,3.14
Kimchi no Mizuno,3.24
Shunsai Sengyo Banquet Nishiki.,3.26
Gion Sushi Yoshi,3.16
hoheto,-
sumitokaisentokushiyakitosakanatottotto Shijo Kawaramachi Ten,3.48
Sherry Club Kyoto Ishibei Koji,3.52
Izakaya Makoto,3.03
Gion Roka,3.08
Daruma Kyoto Kawaramachi Ten,3.18
Pontocho Yakiniku Yamakawa Hon Ten,3.03
Osake to Ganjang Miroku,3.25
Yakiniku Kappou Amano,3.05
Minokichi Shin Hankyu Hoteru Ten,3.37
Steak no Don Uji Ten,3.04
Trattoria ISUQO,3.22
Teramachi Kamoharu,3.37
Gyoza Shokudo Maruken Yamashina Ten,3.02
Nanzenji Sandou Kikusui,3.59
Korean Ryori Anpan,3.26
Mikuri Kua,3.08
Kyoto Niku Kappou Miyata,3.13
Kodawari Tempura to Umai Sakana Kodawariya Fushimi Momoyama Ten,3.10
sebun emba-zu,3.12
Tendan Katsura Gojo Ten,3.12
Niomon Mui,3.66
Sumibi Kushiyaki Nabariya,3.15
Takasegawa Maki,3.40
TRATTORIA ACCA,3.32
Nishiki Yamachi Nikushin,3.32
Tenka no Yakiniku Daishogun Shijoomiya Ten,3.30
Shunsai Dining eーtoko Ya,3.10
Tenshin Ranman Kawaramachi Ten,3.40
Emba Kyoto Chophouse,3.12
Kanga An,3.58
KAENZAN,3.02
Washoku Uoman Miyakohoteru Kyoto Hachijo Ten,3.33
Kamo Ryori Kamo Pato Kyoto,3.12
hakonosushi iroakari,3.54
Kyoto Sakaba Akamaru,3.25
